date,pollster,sample_size,population,fidesz,tisza,mi_hazank,dk,mkkp,other
2025-09-05,Median,1000,certain_voters,0.38,0.51,0.05,0.02,0.03,0.01
2025-09-05,Zavecz Research,1000,certain_voters,0.36,0.46,0.05,0.05,0.04,0.04
2025-09-12,Publicus,1000,certain_voters,0.37,0.46,0.05,0.05,0.04,0.03
2025-10-06,Publicus,1000,certain_voters,0.38,0.45,0.05,0.05,0.04,0.03
2025-10-17,Real-PR 93,1000,certain_voters,0.49,0.4,0.05,0.03,0.02,0.01
2025-10-24,Zavecz Research,1000,certain_voters,0.37,0.48,0.05,0.05,0.04,0.01
2025-10-28,Szazadveg,1000,certain_voters,0.43,0.34,0.07,0.03,0.07,0.06
2025-11-13,IDEA Intezet,1500,certain_voters,0.41,0.47,0.04,0.04,0.03,0.01
2025-11-18,Publicus,1002,certain_voters,0.39,0.48,0.04,0.06,0.03,0.0
2025-11-25,Median,1000,certain_voters,0.4,0.5,0.05,0.02,0.03,0.0
2025-11-28,Republikon,1000,certain_voters,0.33,0.45,0.08,0.04,0.05,0.05
2025-11-28,Nezopont,1000,certain_voters,0.47,0.4,0.06,0.03,0.03,0.01
2025-11-30,Zavecz Research,1000,certain_voters,0.38,0.47,0.05,0.04,0.04,0.02
2025-12-01,XXI Szazad Intezet,1000,certain_voters,0.45,0.4,0.07,0.03,0.05,0.0
2025-12-04,IDEA Intezet,1500,certain_voters,0.39,0.47,0.04,0.05,0.03,0.02
2025-12-05,Real-PR 93,1000,certain_voters,0.49,0.38,0.07,0.03,0.02,0.01
2025-12-15,Republikon,1000,certain_voters,0.36,0.48,0.06,0.04,0.05,0.01
2025-12-16,21 Kutatokozpont,1000,certain_voters,0.36,0.53,0.05,0.03,0.02,0.01
2025-12-16,Nezopont,1000,certain_voters,0.46,0.39,0.06,0.02,0.05,0.02
2025-12-20,Publicus,1001,certain_voters,0.4,0.48,0.05,0.05,0.03,0.0
2026-01-08,Alapjogokert Kozpont,1000,certain_voters,0.49,0.42,0.05,0.02,0.02,0.0
2026-01-13,Median,1000,certain_voters,0.39,0.51,0.05,0.01,0.03,0.01
2026-01-14,XXI Szazad Intezet,1000,certain_voters,0.45,0.4,0.07,0.03,0.05,0.0
2026-01-22,Minerva Intezet,1000,certain_voters,0.37,0.54,0.04,0.03,0.02,0.0
2026-01-22,Magyar Tarsadalomkutato,1000,certain_voters,0.51,0.41,0.05,0.02,0.01,0.0
2026-01-24,Zavecz Research,1000,certain_voters,0.39,0.49,0.05,0.04,0.03,0.0
2026-01-28,Publicus,1001,certain_voters,0.4,0.48,0.05,0.04,0.03,0.0
2026-02-02,21 Kutatokozpont,1000,certain_voters,0.37,0.53,0.05,0.03,0.02,0.0
2026-02-05,Alapjogokert Kozpont,1000,certain_voters,0.49,0.42,0.05,0.02,0.02,0.0
2026-02-06,IDEA Intezet,1500,certain_voters,0.38,0.48,0.05,0.05,0.03,0.01
2026-02-11,Nezopont,1000,certain_voters,0.46,0.4,0.07,0.04,0.03,0.0
2026-02-12,Publicus,1000,certain_voters,0.39,0.48,0.05,0.05,0.04,0.0
2026-02-16,Alapjogokert Kozpont,1000,certain_voters,0.49,0.42,0.05,0.02,0.02,0.0
2026-02-17,Republikon,1000,certain_voters,0.39,0.47,0.06,0.03,0.05,0.0
2026-02-19,Iranytű Intezet,1000,certain_voters,0.37,0.5,0.06,0.02,0.05,0.0
